,np_id,species_list,org_id,pref_name,molecule_chembl_id,pubchem_cid,smiles
0,NPC100079,Artabotrys maingayi; Chelidonium majus; Talipariti tiliaceum; Macleaya cordata; Nicotiana plumbaginifolia; Garcinia xanthochymus; Senna spectabilis; Morinda coreia; Diospyros ebenum; Conium maculatum; Solanum spirale; Argemone mexicana; Hortonia floribunda; Zanthoxylum bungeanum; Broussonetia papyrifera; Zanthoxylum nitidum,NPO13313,Chelerythrine,CHEMBL13045,2703,COc1ccc2c(c[n+](C)c3c4cc5c(cc4ccc23)OCO5)c1OC
1,NPC110969,Cullen corylifolium,NPO30150,Bavachinin,CHEMBL458053,44584224,COc1cc2oc(-c3ccc(O)cc3)cc(=O)c2cc1CC=C(C)C
2,NPC116775,Myrsine capitellata; Equisetum hyemale; Afrocarpus falcatus; Tropaeolum majus; Ixeris chinensis; Centaurea solstitialis; Peganum harmala; Capparis spinosa; Allium tuberosum; Moringa oleifera; Brassica rapa; Alangium longiflorum; Centella asiatica; Impatiens balsamina; Rivina humilis; Nephelium lappaceum; Alstonia muelleriana; Garcinia macrophylla; Corchorus olitorius; Chenopodium quinoa; Phalaris canariensis; Nasturtium officinale; Carum carvi; Diospyros eriantha; Cyrtomium falcatum; Persicaria glabra; Payena lucida; Pteridium aquilinum; Salvia hispanica; Cucumis melo; Caulerpa serrulata; Aristolochia zollingeriana; Rhododendron mucronatum; Houttuynia cordata; Gouania microcarpa; Prunus persica; Lonicera japonica; Glochidion sphaerogynum; Lepidium sativum; Mitragyna speciosa; Hunteria zeylanica; Scolopia chinensis; Rhodiola rosea; Daucus carota; Pyrrosia lingua; Alphitonia macrocarpa; Capsicum annuum; Glinus lotoides; Vitis vinifera; Agrimonia pilosa; Rosa chinensis; Carthamus tinctorius; Atalantia racemosa; Canella winterana; Salacia elliptica; Croton cascarilloides; Melia azedarach; Erythrospermum zeylanicum; Thymus vulgaris; Zingiber officinale; Psychotria serpens; Ipomoea aquatica; Pseudognaphalium affine; Phyllanthus urinaria; Vigna unguiculata; Dichotomaria marginata; Punica granatum; Anethum graveolens; Tarenaya spinosa; Solanum nigrum; Allium ampeloprasum; Allium schoenoprasum; Chrysanthemum indicum; Colocasia esculenta; Bombax ceiba; Indigofera spicata; Kaempferia galanga; Urtica dioica; Allium cepa; Vicia faba; Clausena lansium; Solanum aculeatissimum; Rosulabryum capillare; Eugenia uniflora; Osmanthus heterophyllus; Diplopterygium glaucum; Targionia hypophylla; Cibotium barometz; Magnolia sprengeri; Cucurbita moschata; Beta vulgaris; Smilax china; Albertisia papuana; Senna siamea; Persicaria orientalis; Tephrosia pumila; Diphasiastrum thyoides; Ophiorrhiza blumeana; Walsura tubulata; Tephrosia vogelii; Annona muricata; Isodon japonicus; Euphorbia hirta; Frullania tamarisci; Macadamia ternifolia; Apium graveolens; Vigna radiata; Murraya paniculata; Carica papaya; Citrus maxima; Crinum latifolium; Morus alba; Foeniculum vulgare; Ipomoea batatas; Oroxylum indicum; Cuscuta australis; Radermachera xylocarpa; Eragrostis viscosa; Nauclea officinalis; Brassica juncea; Persicaria hydropiper; Euonymus alatus; Crescentia cujete; Sarcandra glabra; Mangifera indica; Pogostemon cablin; Urena lobata; Samadera indica; Spinulum annotinum; Solanum lycopersicum; Citrus limon; Desmodium styracifolium; Zingiber spectabile; Pteris dactylina; Nelumbo nucifera; Sinningia cardinalis; Syzygium aromaticum; Dicranopteris linearis; Morinda citrifolia; Solanum tuberosum; Erigeron annuus; Fagraea gracilipes; Croton nitens; Portulaca oleracea; Syzygium nervosum; Phaseolus vulgaris; Dipteryx odorata; Phegopteris connectilis; Glycine tomentella; Myristica fragrans; Bauhinia purpurea; Bauhinia glauca; Etlingera elatior; Petroselinum crispum; Limnocharis flava; Cocos nucifera; Jasminum multiflorum; Amaranthus hypochondriacus; Ixora coccinea; Canarium strictum; Allium sativum; Helicteres angustifolia; Brassica napus; Citrus aurantium; Eucalyptus resinifera; Cucumis sativus; Raphanus sativus; Brassica oleracea; Glycine max; Solanum melongena; Debregeasia orientalis; Sinapis alba; Asparagus officinalis; Artocarpus altilis; Camellia sinensis; Porophyllum ruderale; Artemisia lactiflora; Kaempferia rotunda; Pteris semipinnata; Citrullus lanatus; Catunaregam spinosa; Pyrostegia venusta; Typha angustifolia; Indigofera linnaei,NPO2838,Kaempferol,CHEMBL150,5280863,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12
3,NPC117572,Hydnocarpus annamensis; Phoenix paludosa; Plantago major; Arachis hypogaea; Citrus reticulata; Sorghum bicolor; Syzygium aromaticum; Solanum tuberosum; Helianthus annuus; Portulaca oleracea; Brassica oleracea; Glycine max,NPO12323,Icosapent,CHEMBL460026,446284,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O
4,NPC125062,Callicarpa japonica; Avrainvillea longicaulis; Brassica rapa; Dodonaea viscosa; Aristolochia zollingeriana; Lepidium sativum; Zea mays; Bryum argenteum; Daucus carota; Capsicum annuum; Entada phaseoloides; Jackiella javanica; Pangium edule; Anethum graveolens; Magnolia montana; Exallage auricularia; Allium schoenoprasum; Chrysanthemum indicum; Colocasia esculenta; Sterculia foetida; Allium cepa; Diplopterygium glaucum; Targionia hypophylla; Senna siamea; Diphasiastrum thyoides; Annona muricata; Euphorbia hirta; Gmelina asiatica; Virola surinamensis; Vigna mungo; Morus alba; Foeniculum vulgare; Phyllanthus emblica; Cuscuta australis; Solanum lycopersicum; Desmodium styracifolium; Nelumbo nucifera; Portulaca oleracea; Phaseolus vulgaris; Oenanthe javanica; Myristica fragrans; Bauhinia glauca; Petroselinum crispum; Limnocharis flava; Amaranthus hypochondriacus; Allium sativum; Helicteres angustifolia; Eucalyptus resinifera; Cucumis sativus; Brassica oleracea; Solanum melongena; Sinapis alba; Typha angustifolia,NPO4640,Isorhamnetin,CHEMBL379064,5281654,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O
5,NPC149184,Eria linearifolia; Allium tuberosum; Moringa oleifera; Nephelium lappaceum; Castanea mollissima; Garcinia macrophylla; Solanum dulcamara; Salvia hispanica; Elaeis guineensis; Gouania microcarpa; Gossypium barbadense; Morus cathayana; Chromolaena odorata; Xylopia aethiopica; Mirabilis jalapa; Capsicum annuum; Vitis vinifera; Aegiceras corniculatum; Lycium chinense; Sonneratia alba; Curcuma phaeocaulis; Carthamus tinctorius; Melia azedarach; Punica granatum; Kaempferia pulchra; Drosera peltata; Jatropha curcas; Rosulabryum capillare; Curcuma longa; Dipterocarpus alatus; Codium dwarkense; Diplazium esculentum; Linum usitatissimum; Cucurbita moschata; Ocimum gratissimum; Glochidion philippicum; Ceriops decandra; Citrus reticulata; Bursaria spinosa; Archidendron ellipticum; Tabernaemontana divaricata; Ophiorrhiza blumeana; Macadamia ternifolia; Terminalia chebula; Petteria ramentacea; Citrus maxima; Ulva prolifera; Sesbania punicea; Eragrostis viscosa; Nauclea officinalis; Mangifera indica; Desmodium styracifolium; Nelumbo nucifera; Medinilla magnifica; Laggera alata; Bruguiera gymnorhiza; Helianthus annuus; Syzygium nervosum; Ziziphus jujuba; Securidaca inappendiculata; Mesua ferrea; Canarium strictum; Cannabis sativa; Raphanus sativus; Glycine max; Elettaria cardamomum; Curcuma zedoaria,NPO26650,Elcosanoic Acid,CHEMBL1173381,10467,CCCCCCCCCCCCCCCCCCCC(=O)O
6,NPC150928,Cannabis sativa,NPO7513,Delta9-Tetrahydrocannabinolic Acid A,CHEMBL465718,98523,CCCCCc1cc2c(c(O)c1C(=O)O)[C@@H]1C=C(C)CC[C@H]1C(C)(C)O2
7,NPC154245,Nerium oleander,NPO4573,Dihomo-Gamma-Linolenic Acid,CHEMBL465183,5280581,CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)O
8,NPC162071,Barleria prionitis; Alpinia javanica; Crypteronia paniculata,NPO18159,Tirotundin,CHEMBL464453,9975297,C=C1C(=O)O[C@@H]2C[C@H](C)[C@@]3(O)CC[C@@](C)(C[C@@H](OC(=O)C(C)C)[C@@H]12)O3
9,NPC169591,Cullen corylifolium,NPO28809,Bavachinin A,CHEMBL1551302,10337211,COc1cc2c(cc1CC=C(C)C)C(=O)C[C@@H](c1ccc(O)cc1)O2
