np_id	pref_name	iupac_name	chembl_id	pubchem_cid	num_of_organism	num_of_target	num_of_activity	if_has_Quantity
NPC33770	QOXUIQMPPDIDGM-UHFFFAOYSA-N	n.a.	n.a.	610072	1	0	0	No
NPC33772	CFWGDLSLLOXNKI-UHFFFAOYSA-N	n.a.	n.a.	n.a.	7	0	0	No
NPC33776	SLWCVFLNZDOMEZ-PDZCEQESSA-N	n.a.	n.a.	6325532	1	0	0	No
NPC33798	VDFOHPZYWVBCGL-UHFFFAOYSA-N	n.a.	n.a.	12051848	12	0	0	No
NPC33805	WILHOAUMXSHURF-KBUPBQIOSA-N	n.a.	n.a.	n.a.	20	0	0	No
NPC33807	CQTONRDCBOIOBP-WAPJZHGLSA-N	n.a.	n.a.	70682746	3	0	0	No
NPC3381	VJBIVFCLNSFNTO-KDKZKVEXSA-N	n.a.	CHEMBL2047408	66572430	1	4	9	No
NPC33810	FEWRYXXFMHQZRI-QTLLKWENSA-N	n.a.	n.a.	n.a.	3	0	0	No
NPC338131	3',4',5'-Trimethoxyflavanone	(2S)-5,7-dihydroxy-2-(3,4,5-trimethoxyphenyl)-2,3-dihydrochromen-4-one	CHEMBL3581354	40484424	1	1	1	No
NPC33815	NREGVTHCHKOXLC-HXOBKFHXSA-N	n.a.	n.a.	42607847	50	0	0	No
NPC33817	MWBJDDYEYGDWCZ-BZDKHGNJSA-N	n.a.	n.a.	21636311	3	0	0	No
NPC33821	DOKFTILTBKIDSG-UHFFFAOYSA-N	n.a.	n.a.	42608471	1	0	0	No
NPC33831	WCERJEZPIONOJU-PKERQCHISA-N	n.a.	n.a.	101164130	7	0	0	No
NPC33832	Saurunarin	(7R,8S,9S)-9-(1,3-benzodioxol-5-yl)-7,8-dimethyl-6,7,8,9-tetrahydrobenzo[g][1,3]benzodioxol-5-ol	CHEMBL3104951	76331996	1	1	5	No
NPC33836	FIDOCHXHMJHKRW-NLZQSBDBSA-N	n.a.	n.a.	77906396	5	0	0	No
NPC33840	FVWWKTQCICTOAX-QQJABJKRSA-N	n.a.	n.a.	70697808	24	0	0	No
NPC33843	ROMKGHRUHZIGOA-JQQXJZFASA-N	n.a.	n.a.	n.a.	4	0	0	No
NPC33848	USCJUCNOMSERNX-HCFZQKDASA-N	n.a.	n.a.	44179264	6	0	0	No
NPC33855	BNZBFYLKXOKGAO-SNVBAGLBSA-N	n.a.	n.a.	n.a.	1	0	0	No
NPC33867	RXTMGHOBAFTZOU-NLCXYSNCSA-N	n.a.	n.a.	n.a.	49	0	0	No
NPC33868	FCLYKYQBTSMTJB-ODECOBMASA-N	n.a.	n.a.	n.a.	35	0	0	No
NPC33876	8-Acetylcaespitol	[(2R,3R,5R)-5-bromo-2-[(1S,3S,4S)-3-bromo-4-chloro-4-methylcyclohexyl]-2,6,6-trimethyloxan-3-yl] acetate	CHEMBL462893	23244756	1	3	6	No
NPC3388	RVJOTNIWFWVNRS-DGCLKSJQSA-N	n.a.	n.a.	n.a.	1	0	0	No
NPC33881	28-Nor-Isoiguesterin-17-Carbaldehyde	(4aS,6aR,6aS,14aS,14bS)-10-hydroxy-6a,6a,9,14a-tetramethyl-2-methylidene-11-oxo-1,3,4,5,6,13,14,14b-octahydropicene-4a-carbaldehyde	CHEMBL478171	10645721	1	2	2	No
NPC33886	AFDXODALSZRGIH-UHFFFAOYSA-N	n.a.	n.a.	13245	4	0	0	No
NPC3389	WTARULDDTDQWMU-GKAPJAKFSA-N	n.a.	n.a.	12212059	1	0	0	No
NPC33894	VCJYHQPAJJKWLH-VMTDYQMDSA-N	n.a.	n.a.	10581755	22	0	0	No
NPC33899	ZIOHDYUFQITWAX-FVVUREQNSA-N	n.a.	n.a.	197615	4	0	0	No
NPC33900	3-Methoxy-19-Norpregna-1,3,5(10),20-Tetraene	(8S,9S,13R,14S,17R)-17-ethenyl-3-methoxy-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene	CHEMBL479872	10494182	1	1	1	No
NPC33902	PJGGFHCGDNFLRX-UHFFFAOYSA-N	n.a.	CHEMBL2316502	46203429	1	2	8	No
NPC33906	URNVSZVQLKHKDE-WAFXAADMSA-N	n.a.	n.a.	16061345	19	0	0	No
NPC33908	YCDMGCUGMVVWAB-FCYARAGISA-O	n.a.	n.a.	101942241	28	0	0	No
NPC33909	PSBKJPTZCVYXSD-SSDOTTSWSA-N	n.a.	n.a.	6566014	3	0	0	No
NPC33913	VMXMLOFNEQBYHM-INVHITAPSA-N	n.a.	CHEMBL3356400	n.a.	1	9	9	No
NPC33928	Hexane-3,4-Dione	hexane-3,4-dione	CHEMBL1812853	62539	1	8	17	No
NPC33929	UYGBSRJODQHNLQ-UHFFFAOYSA-N	n.a.	n.a.	75222	1	0	0	No
NPC33931	ARNIBHATWCFIIK-UHFFFAOYSA-N	n.a.	n.a.	80796	1	0	0	No
NPC339338	Pseurotin A1	(5S,8S,9S)-8-benzoyl-2-[(E,1S,2S)-1,2-dihydroxyhex-3-enyl]-9-hydroxy-8-methoxy-3-methyl-1-oxa-7-azaspiro[4.4]non-2-ene-4,6-dione	CHEMBL2229123	51413491	1	1	1	No
NPC33934	WHPLQBQPUGBPJI-ZHAKUJFNSA-N	n.a.	n.a.	n.a.	6	1	1	No
NPC33938	Ceramicines A	[(4S,5R,6R,7S,8R,9S,10R,13S,17R)-17-(furan-3-yl)-4,7-dihydroxy-8,10,13-trimethyl-1-oxo-5,6,7,9,11,12,16,17-octahydro-4H-cyclopenta[a]phenanthren-6-yl] acetate	CHEMBL457896	24948959	1	4	4	No
NPC33940	FYSSBMZUBSBFJL-VIFPVBQESA-N	n.a.	n.a.	5312799	17	0	0	No
NPC33948	RCWISKNUEHEHQK-YKEXGGCRSA-N	n.a.	n.a.	102600406	14	0	0	No
NPC33949	Bisnicalaterine A	n.a.	CHEMBL1077123	46881335	1	7	8	No
NPC33950	MBQJXIHPSFNOGI-UCXSYAJUSA-N	n.a.	n.a.	n.a.	5	0	0	No
NPC33951	RNNKBVKCPSKXRZ-VZNIDZRDSA-N	n.a.	n.a.	102206559	7	0	0	No
NPC33958	KDYOPGCGQCXINZ-ASSAYMTPSA-N	n.a.	n.a.	56602069	2	0	0	No
NPC33962	PRGTYLFBJVWLAJ-VRXTUPKQSA-N	n.a.	n.a.	n.a.	4	0	0	No
NPC339621	(+)-Denudatin B	(2R,3R,3aR)-2-(3,4-dimethoxyphenyl)-3a-methoxy-3-methyl-5-prop-2-enyl-2,3-dihydro-1-benzofuran-6-one	CHEMBL571196	40617444	3	4	7	No
NPC339651	IEDVJHCEMCRBQM-UHFFFAOYSA-N	n.a.	n.a.	5578	1	168	1433	No
NPC33967	NYPUDXUXLBGPAZ-UHFFFAOYSA-N	n.a.	n.a.	534549	5	0	0	No
NPC33969	MZQIGQOYXJHSQQ-UHFFFAOYSA-N	n.a.	n.a.	158930	1	0	0	No
NPC33973	Ludicenic Acid E2	(4R)-4-[(3S,5R,10S,12S,13R,14R,17R)-12-acetyloxy-3-hydroxy-4,4,10,13,14-pentamethyl-7,11,15-trioxo-1,2,3,5,6,12,16,17-octahydrocyclopenta[a]phenanthren-17-yl]pentanoic acid	CHEMBL468250	23247892	1	2	6	No
NPC33984	ARCDGVGZYWJKDA-LBAPPZQKSA-N	n.a.	n.a.	21672157	15	0	0	No
NPC33986	Columbianetin	(8S)-8-(2-hydroxypropan-2-yl)-8,9-dihydrofuro[2,3-h]chromen-2-one	CHEMBL201152	92201	11	11	14	No
NPC33987	SXHOGLPTLQBGDO-ZPHFBNLKSA-N	n.a.	n.a.	125142	2	0	0	No
NPC33991	CLVADUMCAXEPEK-NQWJBOIKSA-N	n.a.	n.a.	14162525	1	0	0	No
NPC33996	[2-(6-Amino-Purin-9-Yl)-4-Hydroxymethyl-Oxetan-3-Yl]-Methanol	[(2R,3R,4S)-2-(6-aminopurin-9-yl)-4-(hydroxymethyl)oxetan-3-yl]methanol	CHEMBL116430	72214	1	2	2	No
