taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2815174	Eria cycloglossa Schltr.	7442529	Pinalia cycloglossa (Schltr.) Ormerod	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Orchidaceae	7689	Pinalia	7957746	Pinalia cycloglossa	7442529	NE
2836480	Phaius blumei Lindl.	12246654	Calanthe tankervilleae (Banks) M.W.Chase, Christenh. & Schuit.	3	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Orchidaceae	7689	Calanthe	2794881	Calanthe tankervilleae	12246654	NE
2840738	Goodyera pusilla Blume	2840738	Goodyera pusilla Blume	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Orchidaceae	7689	Goodyera	7526669	Goodyera pusilla	2840738	NE
2850360	Podochilus pauciflorus (Blume) Schltr.	5325117	Appendicula pauciflora Blume	2	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Orchidaceae	7689	Appendicula	2850155	Appendicula pauciflora	5325117	NE
2868559	Homalomena tenuispadix Engl.	2868559	Homalomena tenuispadix Engl.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Alismatales	551	Araceae	6979	Homalomena	2868531	Homalomena tenuispadix	2868559	NE
2871759	Amorphophallus pendulus Bogner & Mayo	2871759	Amorphophallus pendulus Bogner & Mayo	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Alismatales	551	Araceae	6979	Amorphophallus	2871389	Amorphophallus pendulus	2871759	NE
2871909	Cyrtosperma macrotum Becc. ex Engl.	2871909	Cyrtosperma macrotum Becc. ex Engl.	32	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Alismatales	551	Araceae	6979	Cyrtosperma	2871901	Cyrtosperma macrotum	2871909	NE
2873861	Linum usitatissimum L.	2873861	Linum usitatissimum L.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Linaceae	2493	Linum	2873855	Linum usitatissimum	2873861	NE
2879737	Quercus alba L.	2879737	Quercus alba L.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus alba	2879737	LC
2883288	Madhuca brochidodroma T.D.Penn.	2883288	Madhuca brochidodroma T.D.Penn.	5	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Ericales	1353	Sapotaceae	8802	Madhuca	2883218	Madhuca brochidodroma	2883288	EN
2886500	Palaquium crassifolium Pierre ex Dubard	2886500	Palaquium crassifolium Pierre ex Dubard	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Ericales	1353	Sapotaceae	8802	Palaquium	2886411	Palaquium crassifolium	2886500	EN
2899443	Lucinaea monantha Merr. & L.M.Perry	5336379	Schradera monantha (Merr. & L.M.Perry) Puff, R.Buchner & Greimler	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Gentianales	412	Rubiaceae	8798	Schradera	2899396	Schradera monantha	5336379	NE
2901309	Cinchona caloptera Miq.	2901294	Cinchona pubescens Vahl	11	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Gentianales	412	Rubiaceae	8798	Cinchona	2901235	Cinchona pubescens	2901294	NE
2905224	Ixora L.	2905224	Ixora L.	397	GENUS	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Gentianales	412	Rubiaceae	8798	Ixora	2905224			NE
2941367	Archidendron falcatum I.C.Nielsen	2941367	Archidendron falcatum I.C.Nielsen	5	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Archidendron	2941201	Archidendron falcatum	2941367	EN
2984968	Parinari elmeri Merr.	2984968	Parinari elmeri Merr.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Chrysobalanaceae	9111	Parinari	2984937	Parinari elmeri	2984968	NE
